ROC,PR,,,,,,,
0.978206014,0.382504354,,,,,,,
0.941348766,0.284680239,,,,,,,
0.905127933,0.083674518,,,,,,,
0.981764715,0.231422238,,,,,,,
0.915654434,0.044850038,,,,,,,
0.985935634,0.607598694,,,,,,,
0.944831781,0.140603598,,,,,,,
0.927605394,0.015314066,,,,,,,
0.989058348,0.279485098,,,,,,,
0.926633132,0.062981717,,,,,,,
0.962777253,0.140988019,,,,,,,
0.907603897,0.057118637,,,,,,,
0.926831781,0.425505915,,,,,,,
0.922279534,0.102912267,,,,,,,
0.892173115,0.238810944,,,,,,,
0.926016573,0.425867134,,,,,,,
0.929182122,0.154551074,,,,,,,
0.976371708,0.691212521,,,,,,,
0.958881849,0.019367267,,,,,,,
0.954958898,0.151197151,,,,,,,
0.940158635,0.430978157,,,,,,,
0.918680116,0.208502172,,,,,,,
0.972793187,0.173831145,,,,,,,
0.96244937,0.224562185,,,,,,,
0.857752831,0.045997358,,,,,,,
0.976835981,0.507149388,,,,,,,
0.951971165,0.252457826,,,,,,,
0.938426679,0.088182406,,,,,,,
0.930743295,0.193088657,,,,,,,
0.97261556,0.406867708,,,,,,,
0.946617516,0.273208317,,,,,,,
0.898637913,0.35446952,,,,,,,
0.956726982,0.239584088,,,,,,,
0.960918188,0.176678788,,,,,,,
0.979249439,0.352167959,,,,,,,
0.914810321,0.387407599,,,,,,,
0.903523634,0.415872695,,,,,,,
0.953463138,0.327462707,,,,,,,
0.979917189,0.19496626,,,,,,,
0.961270082,0.069187784,,,,,,,
0.970141023,0.279682542,,,,,,,
0.969973788,0.19474535,,,,,,,
0.989043896,0.648599341,,,,,,,
0.95274293,0.300768749,,,,,,,
0.941626657,0.264373733,,,,,,,
0.929638852,0.309404287,,,,,,,
0.928541122,0.343890649,,,,,,,
0.928888619,0.289843348,,,,,,,
0.988615747,0.507294354,,,,,,,
0.930319811,0.161770144,,,,,,,
0.954659656,0.254665442,,,,,,,
0.949555787,0.248877519,,,,,,,
0.936374732,0.202723116,,,,,,,
0.908124516,0.110636066,,,,,,,
0.901016953,0.189019987,,,,,,,
0.891322551,0.152147715,,,,,,,
0.987850664,0.494429156,,,,,,,
0.945979245,0.338558011,,,,,,,
0.910221349,0.206660033,,,,,,,
0.899520463,0.368844372,,,,,,,
0.948899886,0.48818134,,,,,,,
0.981368152,0.61504147,,,,,,,
0.921690183,0.140717113,,,,,,,
0.944128248,0.312849472,,,,,,,
0.923555115,0.238322027,,,,,,,
0.975214919,0.357292753,,,,,,,
0.85362886,0.0242253,,,,,,,
0.989216249,0.546282879,,,,,,,
0.967889961,0.056317168,,,,,,,
0.889364883,0.11084903,,,,,,,
0.97727854,0.311712419,,,,,,,
0.963137212,0.417065656,,,,,,,
0.957493357,0.107158041,,,,,,,
0.970724053,0.140709116,,,,,,,
0.916838573,0.331619304,,,,,,,
0.923334029,0.378001833,,,,,,,
0.959896532,0.18403534,,,,,,,
0.875010992,0.035094382,,,,,,,
0.924672676,0.089524858,,,,,,,
